Frameworx Function,Description,Function Identifier,Frameworx Application (containing),Vertical Group,Frameworx Domain,Issue
Onboarded Product Partner Collaboration,"Onboarded Product Partner Collaboration function defines the Point Of Contacts (POC) pertaining to the onboarded product offerings. The function supports the definition and management of the information about the POCs for both the sourcing partner and the receiving organization. The POCs may differ for different stages of the onboarded product e.g. onboarding, fulfillment, assurance, billing.",1051,Partner Product Offering Onboarding,Lifecycle Management,Business Partner Domain,
Onboarded Product Workflows Definition,"Onboarded Product Workflows Definition function identifies appropriate workflows related to the use of the onboarded product in fulfilment, assurance and billing.",1053,Partner Product Offering Onboarding,Lifecycle Management,Business Partner Domain,
Onboarded Service Integration Configuration,"Onboarded Service Integration Configuration function will configure the on boarded service and the relevant systems to establish integration automatically, when requested. There are several system services in the infrastructure that needs to be aware and integrated with the new service.",964,Service Capability Orchestration,"Assurance
Fulfillment
Readiness & Operations Support",Service Domain,Application Framework 21.0 Modification
Online Travel Booking,Online Travel Booking provides online reservations by a robust online booking tool.,950,Transportation & Travel Service,,Enterprise Domain,Application Framework 21.0 Modification
Open SLA Issues Reporting,Open SLA Issues Reporting function provides the necessary functionality to report open SLA issues,295,Customer SLA Reporting,Assurance,Customer Domain,Application Framework 21.0 Modification
Operational Issues Integration,Operational Issues Integration provides receiving and passing inquires and issues between the service provider and (supplier) partner per contractual arrangements.,637,Supplier/Partner Assurance Management (Deleted),Assurance,Business Partner Domain,Application Framework 21.0 Modification
Operational Status Monitoring,Operational Status Monitoring is responsible for displaying the operational status of resources in either a tabular or graphical representation or both. The function is responsible for collecting the status messages and correlating them to resource topology.,424,Fault Surveillance,Assurance,Resource Domain,Application Framework 21.0 Modification
Operations Portal Server Support,Operations Portal Server Support encompasses Portal Infrastructure for internal / center use into which functional components are plugged. The Framework provides the “foundation” for the development of agent-facing functionality.,731,Operations Portal,Readiness & Operations Support,Customer Domain,Application Framework 21.0 Modification
Order Data Enrichment,"Order Data Enrichment function  acquire missing order data from surrounding systems (often values taken from catalogs and inventories, billing, fraud, etc.) or from external 3rd party systems (like country's common address or credit check system).",716,Customer Order Enrichment,Fulfillment,Customer Domain,Application Framework 21.0 Modification
Order Rules Retrieval,Order Rules Retrieval function makes the Order Rules available to e.g. customer order related applications.,722,Customer Order Rules Management,Fulfillment,Customer Domain,Application Framework 21.0 Modification
Order Searching,Order Searching function makes the customer orders available to other applications.,720,Customer Order Acceptance,Fulfillment,Customer Domain,Application Framework 21.0 Modification
Order Status Viewing,Order Status Viewing provides self empowered fulfillment function of an internet technology driven interface for the customer to undertake Order status enquiry.,272,Customer Self Empowered Fulfillment,"Assurance
Billing & Revenue Management
Fulfillment",Customer Domain,Application Framework 21.0 Modification
Partner Account Creation and Management,Partner Account Creation and Management,655,Supplier/Partner Relationship Management (Deleted),Lifecycle Management,Business Partner Domain,
Partner Account Receivables and Collection Access,Partner Account Receivables and Collection Access provides an online access function to make partners self sufficient for Receivables and Collection activities. Including the use of VNO/Dealer data fencing.,403,Virtual Network Operators (Dealers),Fulfillment,Market Sales Domain,Application Framework 21.0 Modification
